journal_id,user_id,text_jurnal,text_clean,timestamp,label_emosi,label_encoded
8bf87177,144,gue masih jengkel yaa sama temen temen sekelompok gue,saya masih jengkel yaa sama temen temen sekelompok saya,2026-02-03 09:51:58.426638,Anger,0
9179d11a,634,Kemana cinta pergi? Cinta yang bertindak bagai jantung sebuah hubungan. Memberi denyut sehingga hubungan itu dapat hidup hingga detik ini... Aditia Yudis,kemana cinta pergi cinta yang bertindak bagai jantung sebuah hubungan memberi denyut sehingga hubungan itu dapat hidup hingga detik ini aditia yudis,2026-02-03 09:53:49.426638,Love,3
35a25c64,916,Katanya nyokap tau yg terbaik pih. Tp sedangkan bokap gue aja ngebalikin lagi ke gue. Gamau kesel tapi gimana yaallah tiap taun kejadian mulu kayak begini. Udh 2 taun muak juga sama bahasan nikah jodoh taaruf dll,katanya nyokap tau yang terbaik pih tapi sedangkan bokap saya saja ngebalikin lagi ke saya gamau marah tapi bagaimana yaallah tiap taun kejadian mulu seperti begini sudah taun muak juga sama bahasan nikah jodoh taaruf dll,2026-02-03 10:02:26.426638,Anger,0
8dd8bd3b,935,ga tau knp vibe pagi ini sedih pol,tidak tau kenapa vibe pagi ini sedih pol,2026-02-03 10:11:53.426638,Sadness,5
39bac02d,838,"Andai ID-MY takyah guna pasport, malam ni sy dh sampai MY lagi. Itulah hidup selalu dihadapkan dengan pilihan. Mau tak mau salah satu harus direlakan.",andai idmy takyah guna pasport malam ni sy sudah sampai my lagi itulah hidup selalu dihadapkan dengan pilihan mau tidak mau salah satu harus direlakan,2026-02-03 10:14:17.426638,Sadness,5
9eed3bd7,986,Ya .. mbak takut ketemu mas poci Nggaaaaaa. Jawab Hanum kesal. Angga juga takut mbak! Bodo amat. Pokoknya bangun anterin mbak ke kamar mandi sekarang juga! Hanum menyeret Angga setengah paksa. Tak sia-sia ia belajar taekwondo dari SMA. Kekuatannya mampu membuat adik-,ya mbak takut ketemu mas poci nggaa jawab hanum kesal angga juga takut mbak bodo amat pokoknya bangun anterin mbak ke kamar mandi sekarang juga hanum menyeret angga setengah paksa tidak siasia ia belajar taekwondo dari sma kekuatannya mampu membuat adik,2026-02-03 10:31:56.426638,Anger,0
bb6c5aa0,682,"eung . . aku si termasuk zonkies n receh ppl , aku punya ratusan meme yg neomu unfaedah tp bisa bikin orng lain smiley hehe. aku jg orngnya spammer , bawel , sayang-able /.\ ..) aku bisa cute bisa engga ko, seriously aku ngga bohong. ht",eung aku si termasuk zonkies n receh ppl aku punya ratusan meme yang neomu unfaedah tapi bisa bikin orng lain smiley  aku juga orngnya spammer bawel sayangable aku bisa cute bisa tidak ko seriously aku tidak bohong ht,2026-02-03 10:43:27.426638,Joy,2
c1479914,46,minum obat kamu jangan sampai sakit ye awas saja kalau besok tidak-masuk,minum obat kamu jangan sampai sakit ye awas saja kalau besok tidakmasuk,2026-02-03 10:55:52.426638,Fear,1
0bb5c12e,945,"[USERNAME] aku bukanlah para penjilat pantat zohri seperti kalian,,, kalau pun kalian merasa iri dan takut akuanggap si zhri sebagai saudara, ambilah oleh kalian, jilatilah pantatnya setiap kali dia habis berak,,, kl aku hiiiyyy,,,, ambilhah semuaa,,,",aku bukanlah para penjilat pantat zohri seperti kalian kalau pun kalian merasa iri dan takut akuanggap si zhri sebagai saudara ambilah oleh kalian jilatilah pantatnya setiap kali dia habis berak kl aku hiiyy ambilhah semuaa,2026-02-03 11:31:32.426638,Anger,0
031e699c,573,"sempet ketika lo lulus, dan gue masih di kelas 3. iyaa gue coba bgt buat terpaksa suka sm orang, sampe akhirnya jadian & disakitin. saat itu gue udh lupa sm lo jujur. fokus gue udh ke mantan gue ini, karna yaa udh sayang juga? wkwk jadi gue galauin ni orang lumayan lama lah",sempet ketika kamu lulus dan saya masih di kelas iyaa saya coba banget untuk terpaksa suka sama orang sampe akhirnya jadian disakitin saat itu saya sudah lupa sama kamu jujur fokus saya sudah ke mantan saya ini karena yaa sudah sayang juga  jadi saya galauin ni orang lumayan lama lah,2026-02-03 11:35:06.426638,Sadness,5
